Year,District,Code,Location,type_of_crime,total
2012,Mitte,19900,"Bezirk (Mi), nicht zuzuordnen",Local,587
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Robbery,138
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Street_robbery,71
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Injury,723
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Agg_assault,222
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Threat,263
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Theft,2928
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Car,52
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,From_car,500
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Bike,321
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Burglary,219
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Fire,46
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Arson,13
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Damage,700
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Graffiti,102
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Drugs,351
2012,Friedrichshain-Kreuzberg,20101,Südliche Friedrichstadt,Local,1784
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Robbery,180
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Street_robbery,88
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Injury,932
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Agg_assault,274
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Threat,241
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Theft,5170
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Car,90
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,From_car,595
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Bike,913
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Burglary,390
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Fire,58
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Arson,21
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Damage,915
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Graffiti,194
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Drugs,397
2012,Friedrichshain-Kreuzberg,20202,Tempelhofer Vorstadt,Local,2271
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Robbery,112
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Street_robbery,70
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Injury,504
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Agg_assault,153
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Threat,126
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Theft,2330
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Car,24
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,From_car,186
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Bike,311
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Burglary,115
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Fire,31
2012,Friedrichshain-Kreuzberg,20303,nördliche Luisenstadt,Arson,10
